"","BoardName","Degree"
"1","70858_BANK OF AMERICA CORP-Assoc2011",9
"2","70858_BANK OF AMERICA CORP-Assoc2010",8
"3","70858_BANK OF AMERICA CORP-Assoc2012",5
"4","1800_ABBOTT LABORATORIES-Assoc2010",3
"5","70858_BANK OF AMERICA CORP-Assoc2009",3
"6","66740_3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002)-Assoc2010",2
"7","1800_ABBOTT LABORATORIES-Assoc2011",2
"8","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2013",2
"9","318154_AMGEN INC-Assoc2014",2
"10","1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2010",2
"11","66740_3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002)-Assoc2011",2
"12","1800_ABBOTT LABORATORIES-Assoc2009",2
"13","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2011",2
"14","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2012",2
"15","820027_AMERIPRISE FINANCIAL INC-Assoc2012",2
"16","820027_AMERIPRISE FINANCIAL INC-Assoc2010",2
"17","820027_AMERIPRISE FINANCIAL INC-Assoc2013",2
"18","318154_AMGEN INC-Assoc2013",2
"19","732717_AT&T INC (SBC Communications prior to 11/2005)-Assoc2009",2
"20","732717_AT&T INC (SBC Communications prior to 11/2005)-Assoc2010",2
"21","732717_AT&T INC (SBC Communications prior to 11/2005)-Assoc2011",2
"22","70858_BANK OF AMERICA CORP-Assoc2013",2
"23","70858_BANK OF AMERICA CORP-Assoc2008",2
"24","1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2011",2
"25","1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2009",2
"26","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2010",1
"27","1018724_AMAZON.COM INC-Assoc2010",1
"28","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2014",1
"29","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2015",1
"30","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2011",1
"31","318154_AMGEN INC-Assoc2012",1
"32","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2012",1
"33","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2010",1
"34","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2011",1
"35","866787_AUTOZONE INC-Assoc2014",1
"36","70858_BANK OF AMERICA CORP-Assoc2015",1
"37","66740_3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002)-Assoc2008",1
"38","66740_3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002)-Assoc2009",1
"39","1800_ABBOTT LABORATORIES-Assoc2012",1
"40","1800_ABBOTT LABORATORIES-Assoc2013",1
"41","771497_ABM INDUSTRIES INC-Assoc2010",1
"42","771497_ABM INDUSTRIES INC-Assoc2011",1
"43","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2014",1
"44","804212_AIRGAS INC (De-listed 05/2016)-Assoc2008",1
"45","804212_AIRGAS INC (De-listed 05/2016)-Assoc2009",1
"46","804212_AIRGAS INC (De-listed 05/2016)-Assoc2010",1
"47","918160_AK STEEL HOLDING CORP-Assoc2010",1
"48","918160_AK STEEL HOLDING CORP-Assoc2011",1
"49","766421_ALASKA AIR GROUP INC-Assoc2009",1
"50","766421_ALASKA AIR GROUP INC-Assoc2010",1
"51","40729_ALLY FINANCIAL INC (GMAC Inc prior to 05/2010)-Assoc2010",1
