"","BetweenNess","Closeness","EigenValues","Degree"
"1018724_AMAZON.COM INC-Assoc2008",0,0.0150375939849624,3.3809789613201e-36,2
"1018724_AMAZON.COM INC-Assoc2009",0,0.0150375939849624,3.3809789613201e-36,2
"1018724_AMAZON.COM INC-Assoc2010",0,0.0150375939849624,3.3809789613201e-36,2
"1018724_AMAZON.COM INC-Assoc2011",0,0,0,0
"1018724_AMAZON.COM INC-Assoc2012",0,0,0,0
"1018724_AMAZON.COM INC-Assoc2014",0,0,0,0
"1018724_AMAZON.COM INC-Assoc2015",0,0,0,0
"1122304_AETNA INC (Aetna US Healthcare Inc prior to 12/2000)-Assoc2011",0,0,0,0
"1140859_AMERISOURCEBERGEN CORPORATION-Assoc2013",0,0,0,0
"1140859_AMERISOURCEBERGEN CORPORATION-Assoc2016",0,0,0,0
"1156039_ANTHEM INC (WellPoint Inc prior to 12/2014)-Assoc2010",0,0.0150375939849624,3.3809789613201e-36,2
"1156039_ANTHEM INC (WellPoint Inc prior to 12/2014)-Assoc2011",0,0.0150375939849624,3.3809789613201e-36,2
"1156039_ANTHEM INC (WellPoint Inc prior to 12/2014)-Assoc2012",0,0.0150375939849624,3.3809789613201e-36,2
"1156039_ANTHEM INC (WellPoint Inc prior to 12/2014)-Assoc2014",0,0,0,0
"1158449_ADVANCE AUTO PARTS INC-Assoc2012",0,0,0,0
"1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2009",2,0.0263157894736842,2.07858450715526e-28,3
"1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2010",2,0.0263157894736842,2.07858450715526e-28,3
"1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2011",6,0.0263157894736842,1.83736693160757e-28,3
"1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2012",0,0.0175438596491228,6.95659677258863e-29,1
"1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2013",0,0.0213032581453634,1.5739778511589e-28,2
"1390777_BANK OF NEW YORK MELLON CORP (THE)-Assoc2017",0,0,0,0
"1551152_ABBVIE INC-Assoc2014",0,0,0,0
"1800_ABBOTT LABORATORIES-Assoc2009",0,0.0300751879699248,6.23680536180682e-17,4
"1800_ABBOTT LABORATORIES-Assoc2010",0,0.0300751879699248,6.23680536180682e-17,4
"1800_ABBOTT LABORATORIES-Assoc2011",0,0.0300751879699248,6.23680536180682e-17,4
"1800_ABBOTT LABORATORIES-Assoc2012",0,0.0300751879699248,6.23680536180682e-17,4
"1800_ABBOTT LABORATORIES-Assoc2013",0,0.0300751879699248,6.23680536180682e-17,4
"1800_ABBOTT LABORATORIES-Assoc2015",0,0,0,0
"318154_AMGEN INC-Assoc2010",0,0,0,0
"318154_AMGEN INC-Assoc2012",0,0.0112781954887218,7.8719550774435e-46,1
"318154_AMGEN INC-Assoc2013",2,0.0150375939849624,7.8719550774435e-46,2
