"","CIK.Board","DirectorName"
"1","66740_3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002)-Assoc2013","Ippo Vrohidis"
"2","66740_3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002)-Assoc2010","Hristo Odiseev"
"3","1800_ABBOTT LABORATORIES-Assoc2015","Robert Ford"
"4","1800_ABBOTT LABORATORIES-Assoc2010","Zac Taylor"
"5","1800_ABBOTT LABORATORIES-Assoc2010","J White"
"6","1800_ABBOTT LABORATORIES-Assoc2010","Mike Brennan"
"7","1800_ABBOTT LABORATORIES-Assoc2010","Louise Arnott"
"8","1800_ABBOTT LABORATORIES-Assoc2010","Sema Ariman"
"9","1800_ABBOTT LABORATORIES-Assoc2010","Nader Elrashidy"
"10","1800_ABBOTT LABORATORIES-Assoc2011","Doctor Adel Nada"
"11","1800_ABBOTT LABORATORIES-Assoc2010","Preethi Kasireddy"
"12","771497_ABM INDUSTRIES INC-Assoc2016","Bob Swanger"
"13","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2010","Dennis Clark"
"14","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2013","Wayne Shaw"
"15","868857_AECOM (AECOM Technology Corp prior to 01/2015)-Assoc2010","G Ferebee"
"16","874761_AES CORP-Assoc2015","David Movsesian"
"17","1122304_AETNA INC (Aetna US Healthcare Inc prior to 12/2000)-Assoc2011","Charles Anderson"
"18","880266_AGCO CORP-Assoc2013","Alexander Ivannikov"
"19","880266_AGCO CORP-Assoc2013","Lucinda Smith"
"20","880266_AGCO CORP-Assoc2010","Kshipra Pitre"
"21","918160_AK STEEL HOLDING CORP-Assoc2013","Stephanie Bisselberg"
"22","766421_ALASKA AIR GROUP INC-Assoc2012","Ben Minicucci"
"23","1018724_AMAZON.COM INC-Assoc2010","Alex Ip"
"24","1018724_AMAZON.COM INC-Assoc2010","Jay Parekh"
"25","1018724_AMAZON.COM INC-Assoc2014","Nellie Hosseini-Kargar"
"26","1018724_AMAZON.COM INC-Assoc2012","Rajeev Dham"
"27","1018724_AMAZON.COM INC-Assoc2012","Francis Kao"
"28","1018724_AMAZON.COM INC-Assoc2012","Anil Kumar"
"29","1018724_AMAZON.COM INC-Assoc2010","Max Faingezicht"
"30","1018724_AMAZON.COM INC-Assoc2010","Jean-Paul Sanday"
"31","1018724_AMAZON.COM INC-Assoc2015","Tom Okray"
"32","1018724_AMAZON.COM INC-Assoc2010","Shachar Bry"
"33","1018724_AMAZON.COM INC-Assoc2011","Jin-Young Kim"
"34","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2014","Linda Goodspeed"
"35","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2015","Doctor Paul Chodak III"
"36","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2011","Lizzie Grobbel"
"37","4904_AMERICAN ELECTRIC POWER CO INC-Assoc2011","Raja Sundararajan"
"38","4962_AMERICAN EXPRESS CO-Assoc2011","Prasanth Ramanand"
"39","4962_AMERICAN EXPRESS CO-Assoc2013","Anil Varghese"
"40","4962_AMERICAN EXPRESS CO-Assoc2011","David Klein"
"41","5272_AMERICAN INTERNATIONAL GROUP (AIG) INC-Assoc2012","Gaurav Garg"
"42","820027_AMERIPRISE FINANCIAL INC-Assoc2014","Marcy Keckler"
"43","1140859_AMERISOURCEBERGEN CORPORATION-Assoc2016","Joseph Harrison"
"44","318154_AMGEN INC-Assoc2010","Julie DeSander"
"45","318154_AMGEN INC-Assoc2014","Doctor Michael Castagna"
"46","318154_AMGEN INC-Assoc2010","Julie DeSander"
"47","318154_AMGEN INC-Assoc2012","Julie Zalikowski"
"48","773910_ANADARKO PETROLEUM CORP-Assoc2010","L Sanders"
"49","773910_ANADARKO PETROLEUM CORP-Assoc2012","Jonathon VandenBrand"
"50","1156039_ANTHEM INC (WellPoint Inc prior to 12/2014)-Assoc2014","Jason Barker"
"51","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2014","Bill Hurley"
"52","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2012","Luke Skarzynski"
"53","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2010","Jeff Mehlman"
"54","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2012","Luke Skarzynski"
"55","320193_APPLE INC (Apple Computer Inc prior to 01/2007)-Assoc2011","Francois Daumard"
"56","4281_ARCONIC INC (Alcoa Inc prior to 11/2016)-Assoc2010","Renato Bacchi"
"57","7536_ARROW ELECTRONICS INC-Assoc2013","Elizabeth Lalli-Reese"
"58","866787_AUTOZONE INC-Assoc2014","Linda Goodspeed"
"59","8818_AVERY DENNISON CORP-Assoc2012","Helen Mets-Morris"
"60","8868_AVON PRODUCTS INC-Assoc2010","Michelle Jones"
"61","8868_AVON PRODUCTS INC-Assoc2014","Goran Petrovic"
"62","808362_BAKER HUGHES INC-Assoc2012","Rick Dennis"
"63","808362_BAKER HUGHES INC-Assoc2013","Rob Bliton"
"64","808362_BAKER HUGHES INC-Assoc2010","Mike Sumruld"
"65","9389_BALL CORP-Assoc2013","John Thiersch"
"66","70858_BANK OF AMERICA CORP-Assoc2010","Max Vaughan"
"67","70858_BANK OF AMERICA CORP-Assoc2010","Clifton Coffey"
"68","70858_BANK OF AMERICA CORP-Assoc2010","Tyler Lewis"
"69","70858_BANK OF AMERICA CORP-Assoc2010","Michael April"
"70","70858_BANK OF AMERICA CORP-Assoc2011","Erin Cannata"
"71","70858_BANK OF AMERICA CORP-Assoc2011","Craig Benell"
"72","70858_BANK OF AMERICA CORP-Assoc2010","Derek Edwards"
"73","70858_BANK OF AMERICA CORP-Assoc2011","Forrest Wilkinson"
"74","70858_BANK OF AMERICA CORP-Assoc2012","Forrest Wilkinson"
"75","70858_BANK OF AMERICA CORP-Assoc2010","Clifton Coffey"
"76","70858_BANK OF AMERICA CORP-Assoc2010","Epifanio Lopez Martinez"
"77","70858_BANK OF AMERICA CORP-Assoc2011","Mike Patterson"
